"s","x","y","d","ID","sex","genus","species"
1939,1463,503,"mothra03.0624.2220","99.9%_s10g15","male","photinus","greeni"
2057,962,897,"mothra03.0624.2220","99.9%_s10g15","male","photinus","greeni"
1221,212,1099,"mothra03.0624.2220","99.9%_s10g15","male","photinus","greeni"
1886,1164,1223,"mothra03.0624.2220","99.9%_s10g15","male","photinus","greeni"
1607,1296,1531,"mothra03.0624.2220","99.9%_s10g15","male","photinus","greeni"
120,1037,1598,"mothra03.0624.2220","99.9%_s10g15","male","photinus","greeni"
443,1641,388,"mothra03.0624.2222","99.9%_s10g15","male","photinus","greeni"
1400,173,557,"mothra03.0624.2222","99.9%_s10g15","male","photinus","greeni"
1539,602,1205,"mothra03.0624.2222","99.9%_s10g15","male","photinus","greeni"
1792,614,1396,"mothra03.0624.2222","99.9%_s10g15","male","photinus","greeni"
5288,843,1492,"mothra03.0624.2222","99.9%_s10g15","male","photinus","greeni"
1182,1599,120,"mothra03.0624.2224","99.9%_s10g15","male","photinus","greeni"
1632,1218,177,"mothra03.0624.2224","99.9%_s10g15","male","photinus","greeni"
2152,346,466,"mothra03.0624.2224","99.9%_s10g15","male","photinus","greeni"
1271,71,464,"mothra03.0624.2224","99.9%_s10g15","male","photinus","greeni"
1929,780,1117,"mothra03.0624.2224","99.9%_s10g15","male","photinus","greeni"
1221,1784,1550,"mothra03.0624.2224","99.9%_s10g15","male","photinus","greeni"
254,1574,86,"mothra03.0624.2226","99.9%_s10g15","male","photinus","greeni"
1079,172,1005,"mothra03.0624.2226","99.9%_s10g15","male","photinus","greeni"
982,15,1186,"mothra03.0624.2226","99.9%_s10g15","male","photinus","greeni"
1825,1040,1276,"mothra03.0624.2226","99.9%_s10g15","male","photinus","greeni"
546,1323,1585,"mothra03.0624.2226","99.9%_s10g15","male","photinus","greeni"
1137,431,84,"mothra03.0624.2228","99.9%_s10g15","male","photinus","greeni"
1262,269,263,"mothra03.0624.2228","99.9%_s10g15","male","photinus","greeni"
465,102,537,"mothra03.0624.2228","99.9%_s10g15","male","photinus","greeni"
2142,1381,601,"mothra03.0624.2228","99.9%_s10g15","male","photinus","greeni"
586,1335,1588,"mothra03.0624.2228","99.9%_s10g15","male","photinus","greeni"
1829,1401,551,"mothra03.0624.2230","99.9%_s10g15","male","photinus","greeni"
1708,1151,872,"mothra03.0624.2230","99.9%_s10g15","male","photinus","greeni"
1607,291,894,"mothra03.0624.2230","99.9%_s10g15","male","photinus","greeni"
1471,345,1222,"mothra03.0624.2230","99.9%_s10g15","male","photinus","greeni"
2008,632,1490,"mothra03.0624.2230","99.9%_s10g15","male","photinus","greeni"
960,1132,1592,"mothra03.0624.2230","99.9%_s10g15","male","photinus","greeni"
2032,301,224,"mothra03.0624.2232","99.9%_s10g15","male","photinus","greeni"
1045,184,691,"mothra03.0624.2232","99.9%_s10g15","male","photinus","greeni"
981,58,786,"mothra03.0624.2232","99.9%_s10g15","male","photinus","greeni"
1254,263,1452,"mothra03.0624.2232","99.9%_s10g15","male","photinus","greeni"
1942,1068,1535,"mothra03.0624.2232","99.9%_s10g15","male","photinus","greeni"
1363,1247,1582,"mothra03.0624.2232","99.9%_s10g15","male","photinus","greeni"
1513,1312,48,"mothra03.0624.2234","99.9%_s10g15","male","photinus","greeni"
889,210,261,"mothra03.0624.2234","99.9%_s10g15","male","photinus","greeni"
254,248,262,"mothra03.0624.2234","99.9%_s10g15","male","photinus","greeni"
2163,1232,980,"mothra03.0624.2234","99.9%_s10g15","male","photinus","greeni"
1837,1089,1434,"mothra03.0624.2234","99.9%_s10g15","male","photinus","greeni"
1779,1371,1094,"mothra03.0624.2236","99.9%_s10g15","male","photinus","greeni"
2087,477,1186,"mothra03.0624.2236","99.9%_s10g15","male","photinus","greeni"
1910,1148,1195,"mothra03.0624.2236","99.9%_s10g15","male","photinus","greeni"
1530,267,1299,"mothra03.0624.2236","99.9%_s10g15","male","photinus","greeni"
1853,1165,1455,"mothra03.0624.2236","99.9%_s10g15","male","photinus","greeni"
2058,1285,174,"mothra03.0624.2238","99.9%_s10g15","male","photinus","greeni"
673,10,640,"mothra03.0624.2238","99.9%_s10g15","male","photinus","greeni"
2088,517,1024,"mothra03.0624.2238","99.9%_s10g15","male","photinus","greeni"
1352,1707,1173,"mothra03.0624.2238","99.9%_s10g15","male","photinus","greeni"
1130,1481,1421,"mothra03.0624.2238","99.9%_s10g15","male","photinus","greeni"
1728,667,655,"mothra03.0624.2240","99.9%_s10g15","male","photinus","greeni"
1347,304,757,"mothra03.0624.2240","99.9%_s10g15","male","photinus","greeni"
1832,833,790,"mothra03.0624.2240","99.9%_s10g15","male","photinus","greeni"
1827,562,1071,"mothra03.0624.2240","99.9%_s10g15","male","photinus","greeni"
1896,769,1501,"mothra03.0624.2240","99.9%_s10g15","male","photinus","greeni"
341,221,268,"mothra03.0624.2242","99.9%_s10g15","male","photinus","greeni"
1763,1144,290,"mothra03.0624.2242","99.9%_s10g15","male","photinus","greeni"
1979,512,721,"mothra03.0624.2242","99.9%_s10g15","male","photinus","greeni"
530,572,1058,"mothra03.0624.2242","99.9%_s10g15","male","photinus","greeni"
1966,731,1163,"mothra03.0624.2242","99.9%_s10g15","male","photinus","greeni"
2121,470,1221,"mothra03.0624.2242","99.9%_s10g15","male","photinus","greeni"
